year,firm_group,n_obs,n_firms,aum_total,emp_total,rev_total,aum_per_employee_mean,aum_per_employee_median,revenue_per_employee_mean,revenue_per_employee_median,aum_per_employee_total,revenue_per_employee_total
1997,Bank of America / Merrill Lynch family,1,1,30159.079,80.36,21734.0,375.29963912394226,375.29963912394226,270.4579392732703,270.4579392732703,375.29963912394226,270.4579392732703
1998,Bank of America / Merrill Lynch family,1,1,31192.3,170.975,51794.0,182.4377833016523,182.4377833016523,302.9331773651119,302.9331773651119,182.4377833016523,302.9331773651119
1999,Bank of America / Merrill Lynch family,1,1,12360.2,155.906,51526.0,79.2798224571216,79.2798224571216,330.49401562479954,330.49401562479954,79.2798224571216,330.49401562479954
2000,Bank of America / Merrill Lynch family,1,1,9692.0,142.724,57885.0,67.90728959390152,67.90728959390152,405.5729940304364,405.5729940304364,67.90728959390152,405.5729940304364
2001,Bank of America / Merrill Lynch family,1,1,6005.7,142.67,53151.0,42.09504450830588,42.09504450830588,372.54503399453284,372.54503399453284,42.09504450830588,372.54503399453284
2002,Bank of America / Merrill Lynch family,1,1,5597.900000000001,133.944,46362.0,41.79283879830378,41.79283879830378,346.12972585558146,346.12972585558146,41.79283879830378,346.12972585558146
2003,Bank of America / Merrill Lynch family,1,1,5389.3,133.549,49006.0,40.35447663404443,40.35447663404443,366.9514560198878,366.9514560198878,40.35447663404443,366.9514560198878
2004,Bank of America / Merrill Lynch family,1,1,3484.9,175.742,65447.0,19.829636626418274,19.829636626418274,372.4038647562905,372.4038647562905,19.829636626418274,372.4038647562905
2005,Bank of America / Merrill Lynch family,1,1,2859.8,176.638,85064.0,16.190174254690383,16.190174254690383,481.57248157248154,481.57248157248154,16.190174254690383,481.57248157248154
2006,Bank of America / Merrill Lynch family,1,1,,203.425,115689.0,,,568.7059112695097,568.7059112695097,,568.7059112695097
2007,Bank of America / Merrill Lynch family,1,1,,209.718,119190.0,,,568.3346207764713,568.3346207764713,,568.3346207764713
2008,Bank of America / Merrill Lynch family,1,1,0.0,243.075,113106.0,0.0,0.0,465.3131749460043,465.3131749460043,0.0,465.3131749460043
2009,Bank of America / Merrill Lynch family,1,1,0.0,284.0,150450.0,0.0,0.0,529.7535211267606,529.7535211267606,0.0,529.7535211267606
2010,Bank of America / Merrill Lynch family,1,1,0.0,288.0,134194.0,0.0,0.0,465.9513888888889,465.9513888888889,0.0,465.9513888888889
2011,Bank of America / Merrill Lynch family,1,1,0.0,282.0,129913.0,0.0,0.0,460.6843971631206,460.6843971631206,0.0,460.6843971631206
2012,Bank of America / Merrill Lynch family,1,1,,267.19,99708.0,,,373.17264867697145,373.17264867697145,,373.17264867697145
2013,Bank of America / Merrill Lynch family,1,1,,242.117,101697.0,,,420.03246364361036,420.03246364361036,,420.03246364361036
2014,Bank of America / Merrill Lynch family,1,1,,223.715,95181.0,,,425.45649598819926,425.45649598819926,,425.45649598819926
2015,Bank of America / Merrill Lynch family,1,1,,213.28,93056.0,,,436.3090772693173,436.3090772693173,,436.3090772693173
2016,Bank of America / Merrill Lynch family,1,1,,208.024,93662.0,,,450.2461254470638,450.2461254470638,,450.2461254470638
2017,Bank of America / Merrill Lynch family,1,1,,209.376,100417.0,,,479.6012914565184,479.6012914565184,,479.6012914565184
2018,Bank of America / Merrill Lynch family,1,1,,204.489,111313.0,,,544.3471286964091,544.3471286964091,,544.3471286964091
2019,Bank of America / Merrill Lynch family,1,1,,208.131,113589.0,,,545.7572394309353,545.7572394309353,,545.7572394309353
2020,Bank of America / Merrill Lynch family,1,1,,212.505,93753.0,,,441.18020752452884,441.18020752452884,,441.18020752452884
2021,Bank of America / Merrill Lynch family,1,1,,208.248,93851.0,,,450.6693941838577,450.6693941838577,,450.6693941838577
2022,Bank of America / Merrill Lynch family,1,1,,216.823,115053.0,,,530.630975496142,530.630975496142,,530.630975496142
2023,Bank of America / Merrill Lynch family,1,1,,212.985,173512.0,,,814.6676996032584,814.6676996032584,,814.6676996032584
